Freq(Hz), SPL(dB)
269.837952, 103.746
270.174408, 103.740
270.510864, 103.737
270.847321, 103.737
271.183777, 103.740
271.520233, 103.745
271.856689, 103.751
272.193146, 103.756
272.529602, 103.761
272.866058, 103.766
273.202515, 103.771
273.538971, 103.776
273.875427, 103.782
274.211884, 103.787
274.548340, 103.792
274.884796, 103.796
275.221252, 103.800
275.557709, 103.804
275.894165, 103.807
276.230621, 103.811
276.567078, 103.815
276.903534, 103.818
277.239990, 103.821
277.576447, 103.823
277.912903, 103.825
278.249359, 103.826
278.585815, 103.827
278.922272, 103.827
279.258728, 103.827
279.595184, 103.827
279.931641, 103.826
280.268097, 103.825
280.604553, 103.822
280.941010, 103.820
281.277466, 103.817
281.613922, 103.814
281.950378, 103.811
282.286835, 103.808
282.623291, 103.804
282.959747, 103.800
283.296204, 103.795
283.632660, 103.790
283.969116, 103.786
284.305573, 103.783
284.642029, 103.780
284.978485, 103.778
285.314941, 103.775
285.651398, 103.771
285.987854, 103.766
286.324310, 103.760
286.660767, 103.754
286.997223, 103.747
287.333679, 103.741
287.670135, 103.735
288.006592, 103.729
288.343048, 103.724
288.679504, 103.719
289.015961, 103.716
289.352417, 103.714
289.688873, 103.713
290.025330, 103.712
290.361786, 103.711
290.698242, 103.709
291.034698, 103.707
291.371155, 103.706
291.707611, 103.706
292.044067, 103.708
292.380524, 103.711
292.716980, 103.714
293.053436, 103.718
293.389893, 103.722
293.726349, 103.726
294.062805, 103.729
294.399261, 103.732
294.735718, 103.735
295.072174, 103.736
295.408630, 103.737
295.745087, 103.737
296.081543, 103.737
296.417999, 103.739
296.754456, 103.741
297.090912, 103.744
297.427368, 103.745
297.763824, 103.746
298.100281, 103.744
298.436737, 103.742
298.773193, 103.740
299.109650, 103.739
299.446106, 103.738
299.782562, 103.738
300.119019, 103.739
300.455475, 103.741
300.791931, 103.744
301.128387, 103.749
301.464844, 103.759
301.801300, 103.774
302.137756, 103.793
302.474213, 103.819
302.810669, 103.848
303.147125, 103.881
303.483582, 103.915
303.820038, 103.949
304.156494, 103.980
304.492950, 104.006
304.829407, 104.027
305.165863, 104.043
305.502319, 104.054
305.838776, 104.060
306.175232, 104.064
306.511688, 104.065
306.848145, 104.065
307.184601, 104.065
307.521057, 104.064
307.857513, 104.062
308.193970, 104.061
308.530426, 104.060
308.866882, 104.059
309.203339, 104.058
309.539795, 104.058
309.876251, 104.057
310.212708, 104.055
310.549164, 104.052
310.885620, 104.049
311.222076, 104.045
311.558533, 104.042
311.894989, 104.040
312.231445, 104.036
312.567902, 104.031
312.904358, 104.022
313.240814, 104.011
313.577271, 103.999
313.913727, 103.988
314.250183, 103.977
314.586639, 103.968
314.923096, 103.957
315.259552, 103.942
315.596008, 103.924
315.932465, 103.903
316.268921, 103.887
316.605377, 103.881
316.941833, 103.891
317.278290, 103.917
317.614746, 103.955
317.951202, 103.999
318.287659, 104.041
318.624115, 104.076
318.960571, 104.100
319.297028, 104.114
319.633484, 104.120
319.969940, 104.122
320.306396, 104.123
320.642853, 104.122
320.979309, 104.121
321.315765, 104.118
321.652222, 104.115
321.988678, 104.109
322.325134, 104.103
322.661591, 104.095
322.998047, 104.087
323.334503, 104.079
323.670959, 104.071
324.007416, 104.063
324.343872, 104.056
324.680328, 104.052
325.016785, 104.050
325.353241, 104.052
325.689697, 104.059
326.026154, 104.071
326.362610, 104.088
326.699066, 104.110
327.035522, 104.137
327.371979, 104.168
327.708435, 104.200
328.044891, 104.232
328.381348, 104.260
328.717804, 104.285
329.054260, 104.305
329.390717, 104.321
329.727173, 104.333
330.063629, 104.341
330.400085, 104.346
330.736542, 104.346
331.072998, 104.344
331.409454, 104.343
331.745911, 104.342
332.082367, 104.342
332.418823, 104.339
332.755280, 104.328
333.091736, 104.307
333.428192, 104.280
333.764648, 104.256
334.101105, 104.246
334.437561, 104.258
334.774017, 104.292
335.110474, 104.340
335.446930, 104.387
335.783386, 104.422
336.119843, 104.441
336.456299, 104.445
336.792755, 104.441
337.129211, 104.437
337.465668, 104.436
337.802124, 104.438
338.138580, 104.442
338.475037, 104.443
338.811493, 104.443
339.147949, 104.441
339.484406, 104.441
339.820862, 104.443
340.157318, 104.446
340.493774, 104.448
340.830231, 104.449
341.166687, 104.448
341.503143, 104.448
341.839600, 104.449
342.176056, 104.451
342.512512, 104.453
342.848969, 104.454
343.185425, 104.455
343.521881, 104.456
343.858337, 104.457
344.194794, 104.457
344.531250, 104.458
344.867706, 104.456
345.204163, 104.453
345.540619, 104.449
345.877075, 104.446
346.213531, 104.445
346.549988, 104.447
346.886444, 104.451
347.222900, 104.455
347.559357, 104.458
347.895813, 104.458
348.232269, 104.456
348.568726, 104.454
348.905182, 104.452
349.241638, 104.451
349.578094, 104.451
349.914551, 104.450
350.251007, 104.449
350.587463, 104.448
350.923920, 104.448
351.260376, 104.450
351.596832, 104.454
351.933289, 104.458
352.269745, 104.463
352.606201, 104.467
352.942657, 104.470
353.279114, 104.473
353.615570, 104.477
353.952026, 104.481
354.288483, 104.487
354.624939, 104.492
354.961395, 104.498
355.297852, 104.505
355.634308, 104.511
355.970764, 104.518
356.307220, 104.524
356.643677, 104.529
356.980133, 104.533
357.316589, 104.535
357.653046, 104.537
357.989502, 104.538
358.325958, 104.540
358.662415, 104.542
358.998871, 104.544
359.335327, 104.545
359.671783, 104.545
360.008240, 104.544
360.344696, 104.542
360.681152, 104.541
361.017609, 104.540
361.354065, 104.539
361.690521, 104.539
362.026978, 104.538
362.363434, 104.538
362.699890, 104.537
363.036346, 104.535
363.372803, 104.534
363.709259, 104.532
364.045715, 104.529
364.382172, 104.527
364.718628, 104.524
365.055084, 104.522
365.391541, 104.521
365.727997, 104.520
366.064453, 104.519
366.400909, 104.518
366.737366, 104.516
367.073822, 104.514
367.410278, 104.512
367.746735, 104.510
368.083191, 104.509
